AgentID,Rturn_front_orientation_unwrapped
Larva_1,-1.2240260546826676
Larva_1,-19.566622847749585
Larva_1,-2.3284863499796415
Larva_1,-3.9513650487302243
Larva_1,-2.449106960660174
Larva_1,-1.9224224785550632
Larva_1,-1.0991717232831206
Larva_1,-2.8204241405191226
Larva_1,-2.338190724844708
Larva_1,-4.449636501640157
Larva_1,-5.684617133786958
Larva_1,-0.30675732925124066
Larva_1,-12.34882105804229
Larva_1,-57.74031472671243
Larva_1,-1.1620895042210577
Larva_1,-0.9867598608709613
Larva_1,-0.5560705140922835
Larva_1,-1.3132351281007004
Larva_1,-1.1124744383703273
Larva_1,-0.6240988515257868
Larva_1,-6.4686164355379105
Larva_1,-3.001040439050655
Larva_1,-3.1164839927674564
Larva_1,-12.872761961019364
Larva_1,-2.057661127445442
Larva_1,-0.7534205861715009
Larva_1,-2.1851756372219313
Larva_1,-1.622210323713773
Larva_1,-17.47495895226291
Larva_1,-7.612677811425328
Larva_1,-0.8392866613486376
Larva_1,-0.018697351036280452
Larva_1,-15.842299236506847
Larva_1,-0.5265590785730865
Larva_1,-2.0015288078909066
Larva_1,-1.578395631767762
Larva_1,-0.09313566184079036
Larva_1,-2.5689030910776296
Larva_1,-15.251385450179896
Larva_1,-4.839223491961093
Larva_1,-0.45156057761556667
Larva_1,-0.6843768332748823
Larva_1,-0.49880631321704527
Larva_1,-1.38614633866149
Larva_1,-4.55094313398854
Larva_1,-2.302201005828863
Larva_1,-6.326525240715512
Larva_1,-3.877305949234369
Larva_1,-1.4752059844960286
Larva_1,-0.05715814890862703
Larva_1,-14.669182631847832
Larva_1,-0.03472634793524776
Larva_1,-2.4013212360266607
Larva_1,-116.96631484362581
Larva_1,-5.102460450820303
Larva_1,-4.206707462329575
Larva_1,-0.002746662915114939
Larva_1,-1.7185366052239601
Larva_1,-6.224567336848509
Larva_1,-0.17628904313346538
Larva_1,-2.182152253803906
Larva_1,-4.011479589057245
Larva_1,-6.1683381077403965
