AgentID,stridechain_dur
Larva_138,0.625
Larva_138,0.875
Larva_138,0.625
Larva_138,0.75
Larva_138,0.875
Larva_138,2.625
Larva_138,2.75
Larva_138,0.625
Larva_138,1.0
Larva_138,0.625
Larva_138,0.6875
Larva_138,0.625
Larva_138,0.625
Larva_138,0.6875
Larva_138,4.0625
Larva_138,1.25
Larva_138,1.125
Larva_138,0.9375
Larva_138,0.6875
Larva_138,0.8125
Larva_138,0.875
Larva_138,3.0625
Larva_138,0.6875
Larva_138,1.5625
Larva_138,0.625
Larva_138,1.625
Larva_138,0.6875
Larva_138,0.6875
Larva_138,0.6875
Larva_138,0.875
Larva_138,2.6875
Larva_138,2.4375
Larva_138,0.6875
Larva_138,0.75
Larva_138,3.5625
Larva_138,0.875
Larva_138,0.8125
Larva_138,0.875
Larva_138,0.625
Larva_138,0.6875
Larva_138,0.625
Larva_138,2.0625
Larva_138,0.8125
Larva_138,0.9375
Larva_138,1.8125
Larva_138,1.5625
Larva_138,1.5
Larva_138,0.625
Larva_138,2.75
Larva_138,0.875
Larva_138,0.625
Larva_138,1.3125
Larva_138,1.0
Larva_138,1.9375
Larva_138,0.8125
Larva_138,0.625
Larva_138,0.75
Larva_138,1.9375
Larva_138,2.6875
Larva_138,2.75
Larva_138,3.0
Larva_139,1.4375
Larva_139,0.875
Larva_139,2.625
Larva_139,3.125
Larva_139,1.125
Larva_139,22.5625
Larva_139,13.8125
Larva_139,4.875
Larva_139,0.8125
Larva_139,3.1875
Larva_139,1.625
Larva_139,1.4375
Larva_139,0.5
Larva_139,3.375
Larva_139,1.3125
Larva_139,0.875
Larva_139,0.5
Larva_139,3.25
Larva_139,3.875
Larva_139,11.5625
Larva_139,32.75
Larva_139,0.5625
Larva_139,2.25
Larva_139,2.875
Larva_139,4.0625
Larva_139,2.625
Larva_139,0.625
Larva_139,1.5
Larva_139,1.9375
Larva_139,1.5625
Larva_139,2.0625
Larva_139,5.1875
Larva_139,0.5625
Larva_139,3.375
Larva_139,1.6875
Larva_139,0.625
Larva_139,0.75
Larva_139,2.5625
Larva_139,0.625
Larva_139,0.5625
Larva_14,5.75
Larva_14,31.75
Larva_14,1.4375
Larva_14,1.9375
Larva_14,1.875
Larva_14,3.0
Larva_14,3.625
Larva_14,6.5
Larva_14,2.0
Larva_14,14.125
Larva_14,10.5625
Larva_14,10.5625
Larva_14,13.0625
Larva_14,1.0625
Larva_14,0.75
Larva_14,0.6875
Larva_14,3.3125
Larva_14,3.3125
Larva_14,8.375
Larva_14,7.3125
Larva_14,6.625
Larva_141,1.125
Larva_141,32.25
Larva_141,5.625
Larva_141,11.9375
Larva_141,0.5625
Larva_141,5.8125
Larva_141,1.625
Larva_141,7.625
Larva_141,11.125
Larva_141,0.75
Larva_141,5.125
Larva_141,2.6875
Larva_141,10.25
Larva_141,19.5
Larva_141,5.5625
Larva_141,1.75
Larva_141,1.375
Larva_141,1.5
Larva_141,6.3125
Larva_141,1.6875
Larva_142,0.5625
Larva_142,0.75
Larva_142,1.75
Larva_142,1.0
Larva_142,0.9375
Larva_142,0.5
Larva_142,1.1875
Larva_142,8.0625
Larva_142,3.0
Larva_142,2.75
Larva_142,1.0625
Larva_142,3.25
Larva_142,1.5
Larva_142,3.4375
Larva_142,5.3125
Larva_142,0.4375
Larva_142,1.75
Larva_142,0.6875
Larva_142,3.4375
Larva_142,0.75
Larva_142,20.0625
Larva_142,4.5
Larva_142,0.625
Larva_142,5.6875
Larva_142,1.25
Larva_142,0.4375
Larva_142,6.4375
Larva_142,1.5
Larva_142,0.5625
Larva_142,0.625
Larva_142,2.6875
Larva_142,0.8125
Larva_142,8.8125
Larva_142,9.0625
Larva_142,6.6875
Larva_142,2.5
Larva_143,0.625
Larva_143,3.125
Larva_143,2.625
Larva_143,0.6875
Larva_143,2.125
Larva_143,0.625
Larva_143,5.0
Larva_143,3.25
Larva_143,0.6875
Larva_143,3.375
Larva_143,0.5625
Larva_143,3.1875
Larva_143,1.8125
Larva_143,1.9375
Larva_143,0.8125
Larva_143,0.5625
Larva_143,2.875
Larva_143,0.5625
Larva_143,0.8125
Larva_143,2.4375
Larva_143,0.625
Larva_143,0.6875
Larva_143,0.5625
Larva_143,0.8125
Larva_143,1.25
Larva_143,3.1875
Larva_143,0.6875
Larva_143,4.25
Larva_143,0.625
Larva_143,0.75
Larva_143,1.25
Larva_143,4.5625
Larva_143,1.375
Larva_143,0.875
Larva_143,4.6875
Larva_143,1.6875
Larva_143,5.0
Larva_143,0.6875
Larva_143,0.625
Larva_143,1.5625
Larva_143,4.1875
Larva_143,0.75
Larva_143,0.625
Larva_143,0.8125
Larva_143,2.25
Larva_143,1.3125
Larva_143,3.8125
Larva_143,1.5625
Larva_143,4.6875
Larva_143,0.8125
Larva_143,1.3125
Larva_143,0.6875
Larva_143,0.625
Larva_143,4.5625
Larva_143,3.6875
Larva_143,2.1875
Larva_143,1.4375
Larva_143,1.5625
Larva_143,0.75
Larva_143,0.625
Larva_143,0.8125
Larva_144,0.75
Larva_144,6.1875
Larva_144,2.5
Larva_144,3.625
Larva_144,1.0
Larva_144,0.8125
Larva_144,13.9375
Larva_144,0.5625
Larva_144,7.5625
Larva_144,1.75
Larva_144,1.375
Larva_144,1.1875
Larva_144,1.4375
Larva_144,1.875
Larva_144,1.9375
Larva_144,1.8125
Larva_144,3.0
Larva_144,0.5625
Larva_144,0.875
Larva_144,2.5625
Larva_144,0.75
Larva_144,2.625
Larva_144,0.75
Larva_144,0.4375
Larva_144,1.5625
Larva_144,0.625
Larva_144,2.75
Larva_144,10.5625
Larva_144,0.6875
Larva_144,5.25
Larva_144,4.3125
Larva_144,3.6875
Larva_144,0.625
Larva_144,5.6875
Larva_144,5.625
Larva_144,5.4375
Larva_144,2.125
Larva_144,2.4375
Larva_144,0.6875
Larva_144,1.5
Larva_144,0.5625
Larva_144,3.25
Larva_144,0.875
Larva_144,0.625
Larva_144,0.9375
Larva_144,1.875
Larva_144,1.4375
Larva_146,2.5625
Larva_146,17.0625
Larva_146,6.5
Larva_146,60.9375
Larva_146,51.1875
Larva_146,5.4375
Larva_146,8.1875
Larva_146,0.75
Larva_146,4.4375
Larva_146,1.375
Larva_147,17.9375
Larva_147,4.4375
Larva_147,12.9375
Larva_147,15.8125
Larva_147,21.0
Larva_147,3.4375
Larva_147,18.9375
Larva_147,65.0625
Larva_147,0.75
Larva_149,3.25
Larva_149,2.6875
Larva_149,2.5625
Larva_149,4.125
Larva_149,9.625
Larva_149,1.125
Larva_149,1.125
Larva_149,3.6875
Larva_149,5.375
Larva_149,2.125
Larva_149,0.875
Larva_149,13.75
Larva_149,1.0625
Larva_149,0.8125
Larva_149,2.9375
Larva_149,0.75
Larva_149,0.8125
Larva_149,7.0625
Larva_149,0.625
Larva_149,2.375
Larva_149,4.25
Larva_149,3.0625
Larva_149,1.5
Larva_149,5.8125
Larva_149,30.75
Larva_149,8.125
Larva_149,2.875
Larva_149,0.625
Larva_149,18.125
Larva_149,0.5
Larva_149,4.9375
Larva_151,17.4375
Larva_151,21.5625
Larva_151,0.9375
Larva_151,1.3125
Larva_151,3.8125
Larva_151,16.1875
Larva_151,0.6875
Larva_151,8.1875
Larva_151,4.0
Larva_151,3.6875
Larva_151,1.3125
Larva_151,15.3125
Larva_151,3.0
Larva_151,2.25
Larva_151,4.4375
Larva_151,3.75
Larva_151,0.625
Larva_151,4.25
Larva_151,2.3125
Larva_151,1.5625
Larva_151,5.25
Larva_151,1.375
Larva_151,0.625
Larva_151,15.3125
Larva_152,2.3125
Larva_152,23.0625
Larva_152,0.6875
Larva_152,0.8125
Larva_152,8.75
Larva_152,4.0625
Larva_152,3.5625
Larva_152,2.25
Larva_152,10.6875
Larva_152,1.1875
Larva_152,1.875
Larva_152,3.75
Larva_152,4.0
Larva_152,5.6875
Larva_152,0.5625
Larva_152,3.8125
Larva_152,3.9375
Larva_152,3.5
Larva_152,5.1875
Larva_152,17.0
Larva_152,0.6875
Larva_152,0.625
Larva_152,0.75
Larva_152,11.9375
Larva_152,3.875
Larva_152,0.5625
Larva_154,0.75
Larva_154,6.875
Larva_154,1.625
Larva_154,1.125
Larva_154,1.25
Larva_154,2.0
Larva_154,0.6875
Larva_154,6.5
Larva_154,9.1875
Larva_154,3.375
Larva_154,1.125
Larva_154,0.6875
Larva_154,3.6875
Larva_154,3.1875
Larva_154,16.0
Larva_154,1.1875
Larva_154,1.125
Larva_154,10.8125
Larva_154,0.9375
Larva_154,0.75
Larva_154,0.6875
Larva_154,0.6875
Larva_154,2.75
Larva_154,1.25
Larva_154,5.6875
Larva_154,1.5
Larva_154,1.625
Larva_154,0.6875
Larva_154,7.875
Larva_154,9.8125
Larva_154,1.0
Larva_154,8.125
Larva_154,7.75
Larva_154,4.5625
Larva_154,7.3125
Larva_154,0.75
Larva_154,0.8125
Larva_156,2.25
Larva_156,17.0625
Larva_156,6.75
Larva_156,7.75
Larva_156,2.125
Larva_156,3.6875
Larva_156,1.3125
Larva_156,11.75
Larva_156,5.5625
Larva_156,0.8125
Larva_156,41.4375
Larva_156,5.8125
Larva_156,2.625
Larva_156,12.4375
Larva_156,2.6875
Larva_156,5.125
Larva_156,5.625
Larva_156,3.3125
Larva_156,2.5
Larva_157,1.375
Larva_157,9.4375
Larva_157,1.6875
Larva_157,5.3125
Larva_157,1.5
Larva_157,3.9375
Larva_157,0.5625
Larva_157,4.9375
Larva_157,13.75
Larva_157,0.5625
Larva_157,1.375
Larva_157,1.0625
Larva_157,3.4375
Larva_157,2.25
Larva_157,0.6875
Larva_157,5.3125
Larva_157,4.8125
Larva_157,1.75
Larva_157,1.0625
Larva_157,4.875
Larva_157,14.875
Larva_157,4.5625
Larva_157,2.4375
Larva_157,0.75
Larva_157,0.5625
Larva_157,12.3125
Larva_157,4.875
Larva_157,3.8125
Larva_157,1.4375
Larva_157,2.5
Larva_157,4.875
Larva_157,4.9375
Larva_157,0.9375
Larva_157,0.8125
Larva_157,1.6875
Larva_157,0.625
Larva_157,0.625
Larva_157,0.9375
Larva_157,7.5
Larva_159,1.0
Larva_159,1.0
Larva_159,2.0625
Larva_159,6.625
Larva_159,16.375
Larva_159,8.6875
Larva_159,15.375
Larva_159,1.0625
Larva_159,11.0
Larva_159,3.3125
Larva_159,2.0
Larva_159,3.3125
Larva_159,7.6875
Larva_159,9.75
Larva_159,0.5625
Larva_159,2.0625
Larva_159,4.9375
Larva_159,14.4375
Larva_159,3.375
Larva_159,3.375
Larva_159,3.375
Larva_159,1.1875
Larva_159,1.5
Larva_159,4.625
Larva_159,4.0
Larva_159,3.0625
Larva_159,0.6875
Larva_159,5.3125
Larva_16,1.5
Larva_16,0.8125
Larva_16,1.25
Larva_16,0.875
Larva_16,2.5
Larva_16,3.5
Larva_16,1.75
Larva_16,1.5
Larva_16,8.375
Larva_16,7.5625
Larva_16,2.875
Larva_16,0.6875
Larva_16,0.875
Larva_16,9.4375
Larva_16,2.4375
Larva_16,2.125
Larva_16,7.1875
Larva_16,2.6875
Larva_16,1.5625
Larva_16,0.75
Larva_16,1.5625
Larva_16,5.3125
Larva_16,2.5625
Larva_16,7.125
Larva_16,0.875
Larva_16,8.6875
Larva_16,4.4375
Larva_16,1.5
Larva_16,3.1875
Larva_16,2.5
Larva_16,1.75
Larva_16,0.75
Larva_16,1.4375
Larva_16,0.9375
Larva_16,1.5625
Larva_16,0.9375
Larva_16,0.9375
Larva_16,0.75
Larva_16,1.75
Larva_16,0.9375
Larva_16,0.6875
Larva_16,3.0625
Larva_16,1.6875
Larva_16,1.625
Larva_16,2.375
Larva_16,0.625
Larva_160,0.625
Larva_160,2.0
Larva_160,4.4375
Larva_160,0.5625
Larva_160,0.5625
Larva_160,5.9375
Larva_160,0.5625
Larva_160,0.75
Larva_160,1.9375
Larva_160,15.4375
Larva_160,0.6875
Larva_160,1.25
Larva_160,0.6875
Larva_160,0.9375
Larva_160,9.375
Larva_160,4.625
Larva_160,5.0625
Larva_160,0.5625
Larva_160,1.25
Larva_160,7.625
Larva_160,1.0625
Larva_160,0.6875
Larva_160,0.5625
Larva_160,2.6875
Larva_160,0.75
Larva_160,0.75
Larva_160,0.625
Larva_160,11.0625
Larva_160,7.5625
Larva_160,30.125
Larva_160,0.625
Larva_160,0.9375
Larva_160,0.5625
Larva_160,3.1875
Larva_160,0.75
Larva_160,0.75
Larva_160,14.0625
Larva_160,0.6875
Larva_160,2.6875
Larva_161,14.9375
Larva_161,8.1875
Larva_161,3.5
Larva_161,1.6875
Larva_161,2.0625
Larva_161,2.25
Larva_161,3.4375
Larva_161,12.0625
Larva_161,2.0
Larva_161,1.5625
Larva_161,4.25
Larva_161,13.8125
Larva_161,0.6875
Larva_161,17.0625
Larva_161,2.75
Larva_161,1.5
Larva_161,2.375
Larva_161,0.8125
Larva_161,8.625
Larva_161,0.625
Larva_161,6.4375
Larva_161,7.8125
Larva_161,2.1875
Larva_161,19.6875
Larva_162,0.8125
Larva_162,8.125
Larva_162,0.5
Larva_162,4.0
Larva_162,8.375
Larva_162,6.5
Larva_162,21.75
Larva_162,7.4375
Larva_162,4.1875
