AgentID,front_orientation_unwrapped_at_Lturn_stop
Larva_1,603.0186580395875
Larva_1,600.7097023252433
Larva_1,755.2757471274899
Larva_1,257.43092296518876
Larva_1,597.7451421910198
Larva_1,250.46675873100506
Larva_1,246.7647142134105
Larva_1,597.1583136175396
Larva_1,907.4312701694613
Larva_1,753.9764110921498
Larva_1,485.514776361412
Larva_1,231.50565323421745
Larva_1,231.8461316629651
Larva_1,482.2441141876827
Larva_1,439.99754985525436
Larva_1,356.6922732964435
Larva_1,443.6004183291312
Larva_1,786.7537145343714
Larva_1,440.52673398742905
Larva_1,439.86894350178227
Larva_1,356.8681183249746
Larva_1,443.26815693685484
Larva_1,351.7619827822753
Larva_1,361.6809370903513
Larva_1,452.52021583862967
Larva_1,451.88718065495885
Larva_1,346.51873085682877
Larva_1,837.1634162315352
Larva_1,445.44689847727693
Larva_1,341.68736069355634
Larva_1,444.2376189685842
Larva_1,346.99677632684256
Larva_1,769.5457817574362
Larva_1,838.7375505974597
Larva_1,341.4348813370247
Larva_1,440.2905320028239
Larva_1,788.497283346603
Larva_1,431.16152764752104
Larva_1,754.7885038614454
Larva_1,393.0401478276152
Larva_1,390.30898272855444
Larva_1,367.3359820962249
Larva_1,406.15081935651955
Larva_1,757.4771973493318
Larva_1,417.10538475797864
Larva_1,366.80999966355927
Larva_1,365.47340407879716
Larva_1,774.0092216913195
Larva_1,415.9857773756418
Larva_1,413.395670419849
Larva_1,361.2221533368461
Larva_1,414.3642473665596
Larva_1,417.31788403168355
Larva_1,365.1214238810607
Larva_1,418.520141995824
Larva_1,774.8923664291635
Larva_1,765.9461411068843
Larva_1,359.0267440297108
Larva_1,358.5782013695817
Larva_1,444.2784984268141
Larva_1,238.38880386840202
Larva_1,449.062847137916
Larva_1,333.3153839950857
Larva_1,776.6383419806996
Larva_1,453.8235171121591
Larva_1,277.5472554313999
Larva_1,460.3821916990979
Larva_1,242.55581172661704
Larva_1,461.9414272035059
Larva_1,461.7425647184134
Larva_1,238.673057620536
Larva_1,472.40037312216305
Larva_1,292.7012057505641
Larva_1,799.43902221251
Larva_1,238.7185051368987
Larva_1,242.8089165425734
Larva_1,842.3438999009104
Larva_1,471.6472906042984
Larva_1,238.71196530447264
Larva_1,472.1519464270668
Larva_1,243.79462423779816
Larva_1,801.7902013506667
Larva_1,958.022106127785
Larva_1,480.2522280899614
Larva_1,297.18669227497116
Larva_1,454.4354195922053
Larva_1,299.602669177177
Larva_1,771.9397300521866
Larva_1,451.2766281108828
Larva_1,328.6513857603111
Larva_1,461.2070940439943
Larva_1,463.3984950298331
Larva_1,459.0800081448589
